Product Name,Price,Model,Production Country,(L x W x H cm),Color,Main Material,RAM,SIM,Size,memory
Samsung Galaxy A25 Mobile Phone - 6.5 Inches - Dual SIM 5G 256GB/8GB - Light Blue,"EGP 11,135.00", Samsung Galaxy A25,Egypt,161 x 76.5 x 8.3,Light Blue,"Glass front, plastic frame, plastic back",8GB RAM,Dual,6.5 in,256GB
Samsung Galaxy A55 Mobile Phone - 6.6 Inches - Dual SIM 5G 128GB/8GB - Awesome Navy,"EGP 18,880.00", Samsung Galaxy A55,Egypt,161.1 x 77.4 x 8.2,Navy,"Glass front (Gorilla Glass Victus+), glass back (Gorilla Glass), aluminum frame",8GB RAM,Dual,6.6 in,128GB
Samsung Galaxy  A34 - 6.6 Inch Dual SIM 5G 256GB/8GB -Mobile Phone - Awesome Lime,"EGP 14,170.00", Samsung Galaxy A34,Egypt,161.3 x 78.1 x 8.2 mm,Lime,"Glass front (Gorilla Glass 5), plastic frame, plastic back",8GB RAM,Dual,6.6 in,256GB
Samsung Galaxy A15 - 6.5 Inches-256GB-8GB Ram-4G Double Sim Mobile –Blue Black,"EGP 8,888.00", Samsung Galaxy A15,Egypt,160.1x76.8x8.4mm,Blue Black,plastic,8GB RAM,Dual,6.5 in,256GB
"Samsung Galaxy A05s - 6.7"" 128GB/6GB Dual SIM 4G Mobile Phone - Light Violet","EGP 6,229.00", Samsung Galaxy A05s,Egypt,168 x 77.8 x 8.8 mm,Light Violet,"Glass front, plastic back, plastic frame",6GB RAM,Dual,6.7 in,128GB
Samsung Galaxy A05s - 6.5-inch 6GB/128GB Dual Sim 4G Mobile Phone - Light Violet,"EGP 6,399.00", Samsung Galaxy A05s,Egypt,168 x 77.8 x 8.8 mm (6.61 x 3.06 x 0.35 in),light violet,-,6GB RAM,Dual,6.5 in,128GB
Samsung Galaxy A05s - 6.5-inch 6GB/128GB Dual Sim 4G Mobile Phone - Light Violet,"EGP 6,399.00", Samsung Galaxy A05s,Egypt,168 x 77.8 x 8.8 mm (6.61 x 3.06 x 0.35 in),light violet,-,6GB RAM,Dual,6.5 in,128GB
Samsung Galaxy A55 - 6.6 Inch Dual SIM 5G 256GB/8GB -Mobile Phone - Awesome Navy,"EGP 18,499.00", Samsung Galaxy A55,-,161.1 x 77.4 x 8.2 mm,Navy,"Glass front (Gorilla Glass Victus+), glass back (Gorilla Glass), aluminum frame",8GB RAM,Dual,6.6 in,256GB
"Samsung Galaxy M33 Dual SIM, 128GB, 8GB, 5G, Blue","EGP 10,499.00", Samsung Galaxy M33,-,-,Blue,-,8GB RAM,Dual, -,128GB
"Samsung Galaxy A25 Dual SIM, 256 GB, 8 GB RAM, 5G - Personality Yellow","EGP 11,790.00", Samsung Galaxy A25,Egypt,-,-,-,8GB RAM,Dual, -,256GB
Samsung Galaxy  A05s 4GB RAM 128GB ROM BLACK,"EGP 5,760.00", Samsung Galaxy A05s,-,-,BLACK,-,4GB RAM,-, -,128GB
Samsung Galaxy  A34- 6.6 Inch Dual SIM 5G 256GB/8GB - Mobile Phone - Awesome Silver,"EGP 14,170.00", Samsung Galaxy A3,Egypt,161.3 x 78.1 x 8.2 mm,Silver,"Glass front (Gorilla Glass 5), plastic frame, plastic back",8GB RAM,Dual,6.6 in,256GB
"Samsung Galaxy Z Fold6 512GB, 12GB RAM 5G - Navy","EGP 87,999.00", Samsung Galaxy Z Fold6 ,China,-,Navy,-,12GB RAM,-, -,512GB
"Samsung Galaxy A15 4G Dual Sim, 4GB RAM, 128GB, 5000mAh - Blue Black","EGP 6,799.00", Samsung Galaxy A15,China,-,Blue Black,-,4GB RAM,Dual, -,128GB
"Samsung Galaxy A33 8GB Ram, 128GB - Awesome Blue","EGP 16,599.00", Samsung Galaxy A33,-,-,Blue sky,-,8GB RAM,-, -,128GB
Samsung Galaxy A55 Mobile Phone - 6.6 Inches - Dual SIM 5G 256GB/8GB - Awesome Ice Blue,"EGP 20,056.00", Samsung Galaxy A55,Egypt,161.1 x 77.4 x 8.2,Ice Blue,"Glass front (Gorilla Glass Victus+), glass back (Gorilla Glass), aluminum frame",8GB RAM,Dual,6.6 in,256GB
"Samsung Galaxy  A35 5G Dual Sim, 8GB RAM, 128GB - Awesome Lilac","EGP 14,399.00", Samsung Galaxy A35,China,-,Lilac,-,8GB RAM,Dual, -,128GB
Samsung Galaxy A25 5G - 6.5-inch 128GB/6GB Dual Sim - Mobile Phone - Yellow,"EGP 9,599.00", Samsung Galaxy A25,China,-,Yellow,-,6GB RAM,Dual,6.5 in,128GB
Samsung Galaxy A05s - 6.5-inch 4GB/128GB Dual Sim 4G Mobile Phone - Black,"EGP 5,674.00", Samsung Galaxy A05s,China,-,Black,-,4GB RAM,Dual,6.5 in,128GB
"Samsung Galaxy  A35 5G Dual Sim, 8GB RAM, 256GB - Awesome Navy","EGP 16,499.00", Samsung Galaxy A35,China,-,Navy,-,8GB RAM,Dual, -,256GB
Samsung Galaxy A15 - 6GB RAM - 128GB - Yellow,"EGP 7,499.00", Samsung Galaxy A15,China,160.1 x 76.8 x 8.4 mm (6.30 x 3.02 x 0.33 in),Yellow,"Glass front, plastic back, plastic frame",6GB RAM,-,6.3 in,128GB
Samsung Galaxy A05s Dual SIM Silver 6GB RAM 128GB 4G LTE,"EGP 6,220.00", Samsung Galaxy A05s,Egypt,-,Blue/Black,-,6GB RAM,Dual, -,128GB
Samsung Galaxy A05s Dual SIM Silver 6GB RAM 128GB 4G LTE,"EGP 6,220.00", Samsung Galaxy A05s,Egypt,-,Blue/Black,-,6GB RAM,Dual, -,128GB
Samsung Galaxy A55 Mobile Phone - 6.6 Inches - Dual SIM 5G 128GB/8GB - Awesome Ice Blue,"EGP 18,960.00", Samsung Galaxy A55,Egypt,161.1 x 77.4 x 8.2,Ice Blue,"Glass front (Gorilla Glass Victus+), glass back (Gorilla Glass), aluminum frame",8GB RAM,Dual,6.6 in,128GB
Samsung Galaxy A05s - 6.5-inch 4GB/128GB Dual Sim 4G Mobile Phone - Silver,"EGP 6,040.00", Samsung Galaxy A05s,Egypt,168 x 77.8 x 8.8 mm (6.61 x 3.06 x 0.35 in),silver,-,4GB RAM,Dual,6.5 in,128GB
"Samsung Galaxy  A34 5G 8GB Ram ,128GB - Awesome Graphite","EGP 12,799.00", Samsung Galaxy A34,China,-,Graphite,-,8GB RAM,-, -,128GB
"Samsung Galaxy  A35 5G Dual Sim, 8GB RAM, 128GB - Awesome Navy","EGP 14,399.00", Samsung Galaxy A35,China,-,Navy,-,8GB RAM,Dual, -,128GB
Samsung Galaxy  Tab A9 8.7 Inch Single SIM 4G 128GB/8GB -Tablet - Navy,"EGP 9,500.00", Samsung Galaxy Tab,China,211 x 124.7 x 8 mm,Navy,-,8GB RAM,-,8.7 in,128GB
"Samsung Galaxy  A35 5G Dual Sim, 8GB RAM, 128GB - Awesome Navy","EGP 14,399.00", Samsung Galaxy A35,China,-,Navy,-,8GB RAM,Dual, -,128GB
Samsung Galaxy A15 - 6.5-inch 4GB/128GB Dual Sim 4G - Mobile Phone - Light Blue,"EGP 7,888.00", Samsung Galaxy A15,Egypt,-,Light Blue,-,4GB RAM,Dual,6.5 in,128GB
